company,slogan
Buttercup table margarine,Buttercup. When it really matters.
Astra table margarine in Sri Lanka,Astra. Good start.
Nuttelex margarine spreads,Nuttelex. The healthy alternative.
Meadow Lea margarine spreads,You ought to be congratulated.
Meadow Lea margarine spreads,A buttery taste that's better for you.
"Blue Bonnet, margarine, other bread spreads and baking fats",Everything's better with Blue Bonnet on it.
Clover margarine and spreads,Love every day the Clover way.
Amul Cheese Slices,Amul slice. Fully nice.
Amul Pizza cheese,Melts your heart... Melts in your mouth.
Amul processed cheese,Amul cheese. Yes please!
Amul Emmental cheese,"Fine cheese, for your finest occasions."
Amul Gouda cheese,Go Dutch with Amul.
Cypress Grove Chevre / Lamb Chopper sheep cheese,Born to be mild.
"Bladen cheese, specially created for caterers",Bladen. Made for caterers.
WisPride spreadable cheese,WisPride. Most spreadable ever!
WisPride spreadable cheese,Made with aged cheddar and a lot of pride.
Merkts cheese spreads,You're a Merkts man.
Owl's Nest spreadable cheese,"Easy to spread, impossible to resist."
Chesdale cheese,Real cheese taste for real cheese lovers.
Jarlsberg cheese from Norway,Jarlsberg. Yours to share.
Jarlsberg cheese from Norway,Only Jarlsberg is Jarlsberg.
Jarlsberg cheese from Norway,Jarlsberg make it special.
Jarlsberg Lite low-fat cheese,You've got to taste it to believe it.
President cheese,Perfectly paired with life.
President Brie cheese,Leave your friends speechless.
President Emmental cheese,Irresistibly sweet & nutty.
Karicka cream cheese in Slovakia,Karicka! The mother's best!
Brewster cheese,Make it Swiss!
"Le Gruyere, Swiss cheese",Le Gruyere. Born in Switzerland in 1115.
"Le Gruyere, Swiss cheese","No holes, just taste!"
"Kaltbach Le Gruyere, cheese from Switzerland",Maturity that melts in your mouth.
"Rosenborg, Danish blue cheese","Rich, smooth and distinctive."
"Rosenborg, Danish blue cheese",Britain's favourite blue cheese brand.
Butlers Blacksticks Blue cheese,A taste of the unexpected.
Mazola corn oil margarine,Mazola. Goodness from maize.
Outline low fat margarine,Outline a brighter life.
Outline low fat margarine,From Outline comes the possibility.
Outline low fat margarine,Diet. What diet?
"St. Ivel Gold, low fat spread",Less makes more sense.
"St. Ivel Gold, low fat spread",St. Ivel Gold Extra Light. The lowest fat spread.
Yorkshire butter,The traditional taste of Yorkshire.
"Soya, brand of margarine",Bring a bit of taste back into your life.
Clover margarine and spreads,It's great in the middle.
Clover margarine and spreads,Made for family.
Country Crock margarine and butter spreads,So much good happens when we bake.
Country Crock margarine and butter spreads,Country Crock. Where good habits are delicious.
Country Crock margarine and butter spreads,Welcome to Crock Country.
Gold 'n Soft margarine and spreads,More spreadably delicious than ever.
Gold 'n Soft margarine and spreads,Little yellow tub. Great big taste!
"Flora, brand of margarine and spreads",Flora. Sunflower goodness for all the family.
"Flora, brand of margarine and spreads",Flora Buttery. Cheat on butter.
"Flora, brand of margarine and spreads",Better butteryness.
Flora Pro-Activ spreads for cholesterol lowering,The UK's no.1 cholesterol lowering brand.
Stork Margarine,The difference is worth talking about.
Stork Margarine,Stork SB margarine. And you've said it all.
Stork Margarine,You get a better bake every time with Stork.
Prestige margarine in Kenya,Energy to get you going.
Vitalite sunflower margarine,Vitalite. That's right.
Vitalite sunflower margarine,For soldiers with a healthy appetite.
"Delicious, brand of table margarine in India",The delicious way to eat healthy.
Belolive cooking margarine,For baking and frying it's really worth trying.
"Cracker Barrel, cheddar cheese",Deliciously different cheddar.
"Cracker Barrel, cheddar cheese","Cracker Barrel. Cheddar, perfected."
Kraft cheese,Kraft cheese. Make something amazing.
Kraft cheese,For moms who give 100%.
Kraft Singles processed cheese,For growing bodies. And smiling faces.
Kraft Singles processed cheese,Have a happy sandwich.
Kraft Singles processed cheese,Milk makes Kraft Singles taste better.
Kraft Singles processed cheese,More milk makes 'em good.
"Pilgrims Choice, cheddar cheese brand in England",Pilgrims Choice. Well chosen.
"Pilgrims Choice, cheddar cheese brand in England",Good choice pilgrim.
"Pilgrims Choice, cheddar cheese brand in England","When you're choosing cheddar, make it Pilgrims Choice."
Wyke Farms cheese,Wyke Farms. Made from nature by nature.
Wyke Farms cheese,Over 100 years of family farming.
Wyke Farms cheese,Somerset farming since 1902.
Wyke Farms cheese,Mature by nature.
Leskol cheese brand,Love cheddar? You'll love Leskol.
"Primula, brand of spreadable cheese in tubes","Love Primula. Anywhere, anytime, anybody."
"Primula, brand of spreadable cheese in tubes",Perfect for sharing.
"Primula, brand of spreadable cheese in tubes",The only cheese you can squeeze.
Charleville cheese brand in Ireland,Charleville. Ireland's favourite cheese.
Charleville cheese brand in Ireland,For the love of cheese.
Charleville cheese brand in Ireland,"Charleville, the home of Irish cheddar."
Avonmore cheese,None of your fancy stuff.
"Dubliner, Irish cheese",Dubliner. The secret's in the taste!
"Dubliner, Irish cheese",Character in every bite.
"Kilmeaden, Irish cheese",Kilmeaden. The fillet of cheddar.
"McLelland Seriously Strong cheddar, Scottish cheese",More than just strong. Seriously.
"McLelland Seriously Strong cheddar, Scottish cheese",It's all about the taste.
Galloway cheese brand,The family's favourite Scottish cheddar.
Kraft American Singles process cheese slices,Good food to grow up on.
Kraft American Singles process cheese slices,"You put us on top, America."
Kraft Singles Fat Free cheese slices,"Flavor like that, without the fat."
Kraft Velveeta process cheese,Unleash the cheese.
Kraft Velveeta process cheese,There's no single cheese like Velveeta.
Kraft Three Cheese Pizza shredded blend,It's perfect for pizza.
Kraft Tex Mex shredded cheese,Make meals legendary.
Kraft Romano grated cheese,The Italian-style seasoning cheese.
Kraft Parmesan grated cheese,100% great parmesan taste.
Kraft Parmesan grated cheese,So many other pastabilities.
Kraft Sharp Cheddar shredded cheese,All the taste. All the time.
American Dairy Association / advertising of cheeses,Cheese adds a slice of life.
British Cheese Board / cheese advertising in England,"Anyway you please it, cheese it."
British Cheese Board / cheese advertising in England,Don't be without it.
Wisconsin Milk Marketing Board / advertising campaign of Wisconsin cheeses,Wisconsin cheese. Outdo ordinary.
Real California cheese,Great cheese comes from happy cows. Happy cows come from California.
Grafton Village Cheese,Handmade in Vermont.
Joseph Farms cheese,Joseph Farms. California natural cheese.
Joseph Farms cheese,Only real good stuff inside!
Spring Hill Jersey cheese,All natural. Local. Quality. Delicious.
Boar's Head cheese brand,Boar's Head has cheese. Pass it on.
Davidstow cheddar cheese,Davidstow. Cheddar from Cornwall.
Dairylea processed cheese products,Herds of Dairylea goodness.
Dairylea processed cheese products,Dairylea. A good source of calcium.
Dairylea Dunkers product,"Toy with them, then destroy them."
Dairylea Strip Cheese,Handy for little fingers.
BelGioioso cheese,BelGioioso. Quality never stops.
BelGioioso cheese,Classic Italian cheese made in the USA.
Cabot cheddar cheese,Cabot. World's best cheddar.
Saxon Creamery cheese,"Flavor, by nature."
Cheestrings cheese snacks,A glass of milk in every one.
Cheestrings cheese snacks,The No.1 cheese snack in the land.
Cheestrings cheese snacks,Stringy cheese not mingy cheese.
"Melrose Cheestrings, cheese snack for kids",Real cheese. Real fun.
"Shepherds Purse, artisan Yorkshire cheeses",Champion cheese producers since 1989.
"Vermont Creamery, cow and goat cheese",Artisan cheeses from farm to table.
"MIX 106.3 radio station, Canberra, Australia",MIX 106.3. Canberra. Feel good.
"Radio 3FM, Netherlands",1 Hear. 2 Feel. 3 FM.
"B105 FM radio station, Australia",B105. Today's best music
BBC 6 Music,We play what we like and nothing else
BBC 7,Unadulterated Entertainment Radio
"Century FM radio station, UK","Century FM. No.1 for 80's, 90's and Now!"
"Century FM radio station, UK",Music for adults who never grow up
"SAGA radio, United Kingdom",Saga. Your life. Your music.
Smooth radio,Your life. Your music.
96.4 BRMB radio station,96.4 BRMB. Better Music for Birmingham
"Capital 95.8 FM, London's radio station",The sound of London.
"Capital 95.8 FM, London's radio station","Capital FM. Feel Good, Feel London"
"Jam FM radio, Berlin",JAM FM. The finest in black music
"Jam FM radio, Berlin",True music is black
Studio Brussel FM,Studio Brussel. Life is music.
"Radio Donna, Belgium",Donna. Make my day.
"Radio Donna, Belgium",Thank you for the music.
"Nova 96.9 FM, Sydney, Australia",Nova 969. Sounds different.
"Radio Contact, Belgium","Whatever happens, feel good."
"Radio Contact, Belgium",Radio Contact. Power of Music.
"Q-Music radio station, Belgium",Q is good for you.
Alpo Brand Dog Food,Doesn't your dog deserve ALPO?
Alpo Brand Dog Food,A great dog deserves Alpo
Meow Mix cat food,Tastes so good cats ask for it by name
Whiskas Cat Food,Whiskas. What cats want
Whiskas Cat Food,Cats Know the Difference
Whiskas Cat Food,A real treat for your cat's teeth
Whiskas Cat Food,Eight out of ten cats prefer it
Whiskas Cat Food,Nutrition for life naturally
Whiskas Cat Food,There's nothing cats would rather eat
Husky dog food,Husky. The real meat taste every dog loves
American Home Magazine,American Home has an edifice complex.
Vogue Magazine,Vogue - for the overwhelming minority.
Vogue Magazine,"If it wasn't in VOGUE, it wasn't in vogue."
"The Spectator, weekly magazine, political and current events",The Spectator. Champagne for the brain.
"New Statesman, a British political magazine","New Statesman. Expand your mind, change your world."
"Manager magazin, Germany",Business - the inside story.
The Economist,Sparks and Mensa.
The Economist,More than just economics.
The Economist,The Economist. For top laps.
The Economist,Free enterprise with every issue.
"Metropolitan Home Magazine, American home style and contemporary design",Mode for your abode.
Time magazine,Understanding comes with TIME.
Time magazine,The most important magazine to the world's most important people.
Fortune business magazine,Every FORTUNE Tells The Story.
KamaSutra condoms,KamaSutra. For the pleasure of sensual living.
LifeStyles Brand Condoms,Proven Protection That Feels Really Good!
LifeStyles Brand Condoms,Feel Good. Play Safe.
Trojan Condoms,Trojan. Pleasure you want. Protection you trust.
Jimmie Hatz Condoms,The Official Condom Of The Hip Hop Kulture.
Durex Condoms,For a hundred million reasons
Durex Condoms,Durex. Made to make you last longer.
Durex Condoms,"Better Shape, Better Sex."
Durex Condoms,Once you try it you would never do without it.
Durex Condoms,"Good news for your sex life, bad news for beds."
Durex Condoms,Durex. Crowdstopper.
Sagami Condoms,Sagami. The improved polyurethane condom.
Jontex Condoms,Jontex. The safest.
9 Lives Cat Food,9 Lives. Real Taste. Real Excitement.
9 Lives Cat Food,The cat who doesn't act finicky soon loses control of his owner
Felix cat food brand,Cats like Felix like Felix
Hill's Pet Nutrition,Hill's. The Global Leader in Pet Nutrition
"Hill's ""Science Diet"" brand, pet food","Live lighter, Love longer."
"Hill's ""Science Diet"" brand, pet food",Superior nutrition for the life of your pet
Butcher's dog food brand,Dogs loves Butcher's
Cesar dog food brand,Cesar. Sophisticated food for sophisticated dogs
Eukanuba pet food brand,What healthy dogs and cats are made of
Eukanuba pet food brand,Eukanuba. What healthy pets are made of
Financial Times Newspaper,"No FT, No Comment"
The Independent newspaper,The quality compact.
The Independent newspaper,It is. Are you?
New York Times Newspaper,All the News That's Fit to Print
"Daily Mirror, Britain's tabloid newspaper",Daily Mirror. Be part of it
"Daily Mirror, Britain's tabloid newspaper",Forward with the People
"Daily Mirror, Britain's tabloid newspaper",Forward with Britain
"Daily Mirror, Britain's tabloid newspaper",Biggest daily sale on Earth
"The Times of India, newspaper, Delhi",The joy of continuous celebration
Wall Street Journal,The daily diary of the American dream
"The Times newspaper, UK",Join the debate.
"The Times newspaper, UK",Are you missing what's important?
"The Times newspaper, UK",Top people take the Times.
"The Times newspaper, UK","When The Times speaks, the World listens."
"The Times newspaper, UK",Have you ever wished you were better informed?
"Sunday Times newspaper, Great Britain",Sunday isn't Sunday without the Sunday Times
Fortune business magazine,For the men in charge of change.
Money Magazine,Reap the rewards of Money.
"Barron's, America's premier financial weekly",Barron's. News Before the Market Knows.
"Barron's, America's premier financial weekly",How the Smart Money Gets That Way.
"Barron's, America's premier financial weekly",How Money Becomes Wealth.
